156,112
177,109
152,117
193,111
148,115
161,117
193,114
188,112
177,116
166,112
145,118
199,114
145,117
196,114
172,118
145,117
196,112
167,111
196,114
156,114
143,109
148,116
164,110
188,116
165,114
182,112
169,109
143,113
140,114
159,114
188,111
201,113
201,115
144,109
145,118
153,118
140,113
164,115
140,115
180,113
201,118
180,117
159,109
197,114
177,113
196,111
140,111
149,118
180,110
168,117
181,114
173,113
150,118
200,110
175,113
140,114
141,113
182,115
164,117
159,113
165,114
164,114
164,115
201,117
191,114
148,113
185,109
144,115
145,112
177,110
183,111
193,118
201,111
190,113
177,111
176,113
180,111
156,116
141,113
157,113
161,112
193,109
140,112
159,113
193,117
201,117
196,113
188,118
172,111
191,114
196,111
164,116
157,113
161,117
145,111
196,111
164,114
193,113
200,114
152,109
174,113
198,114
164,112
173,113
175,113
151,118
196,117
140,117
191,115
140,112
156,118
140,110
180,109
188,109
188,110
148,115
156,117
152,114
172,113
168,117
188,118
196,115
157,109
172,115
153,116
164,111
141,113
188,115
192,116
156,118
188,113
188,118
150,109
197,110
165,113
197,110
177,111
166,115
172,110
188,109
196,114
140,117
160,113
156,118
156,114
149,109
156,117
197,114
180,114
180,116
181,114
172,114
172,109
193,114
156,115
172,112
143,114
167,111
140,109
180,116
144,116
153,117
188,112
151,109
153,118
172,115
185,109
172,112
201,115
181,113
160,116
156,112
193,118
145,110
188,112
176,113
140,116
197,114
156,111
144,113
160,109
156,114
151,109
182,112
193,110
180,118
172,117
164,118
143,114
164,109
193,113
199,109
169,118
148,117
193,116
142,113
188,114
148,112
193,111
149,118
196,112
168,110
201,116
161,118
196,118
160,113
177,115
193,118
201,114
143,109
198,109
172,112
172,116
188,117
180,111
201,115
172,110
158,113
180,114
150,118
153,118
188,116
144,116
188,117
188,113
148,117
159,109
193,115
143,114
196,115
140,112
184,110
198,109
145,111
156,109
141,109
169,118
193,112
201,116
161,112
183,111
177,110
180,115
174,113
172,118
148,114
156,115
189,111
156,110
142,109
177,110
191,115
164,109
172,110
177,112
191,114
180,116
168,110
177,117
160,115
180,110
153,110
177,117
201,118
152,109
196,115
144,113
193,114
182,115
188,114
142,109
153,115
140,113
192,117
157,113
143,113
197,110
196,112
140,110
160,116
152,117
180,113
172,111
172,113
158,109
164,110
153,110
165,113
175,113
168,117
156,115
151,114
148,110
148,111
177,118
192,117
192,117
180,111
181,113
145,117
192,116
172,118
189,110
180,115
172,109
161,118
153,114
193,115
164,112
161,111
148,112
180,112
181,113
177,113
177,114
184,110
185,118
149,109
189,111
142,109
164,112
161,117
140,116
184,117
177,109
152,114
152,109
188,117
196,116
193,115
201,116
140,115
183,116
188,114
188,116
158,109
196,118
156,117
182,112
140,116
161,110
148,115
182,115
189,110
153,115
196,116
190,112
180,109
160,113
172,115
160,109
172,114
193,109
164,113
188,109
201,112
172,117
177,114
150,109
140,110
156,113
177,115
156,110
153,116
140,118
144,115
201,117
184,110
153,117
180,114
167,116
156,116
169,109
177,118
180,110
167,116
153,117
161,112
196,116
169,118
166,112
191,115
177,116
183,116
156,116
161,118
199,114
148,112
198,114
177,109
150,109
